label_id,common_name,scientific_name,folder_name
52,Little Spotted Kiwi,Apteryx owenii,Little Spotted Kiwi_sound
53,Little Tinamou,Crypturellus soui harterti,Little Tinamou_sound
54,Maleo,Macrocephalon maleo,Maleo_sound
55,Malleefowl,Leipoa ocellata,Malleefowl_sound
56,Marail Guan,Penelope marail jacupeba,Marail Guan_sound
57,Melanesian Megapode,Megapodius eremita,Melanesian Megapode_sound
58,Micronesian Megapode,Megapodius laperouse laperouse,Micronesian Megapode_sound
59,Moluccan Megapode,Eulipoa wallacei,Moluccan Megapode_sound
60,New Guinea Scrubfowl,Megapodius decollatus,New Guinea Scrubfowl_sound
61,Nicobar Megapode,Megapodius nicobariensis,Nicobar Megapode_sound
62,North Island Brown Kiwi,Apteryx mantelli,North Island Brown Kiwi_sound
63,Northern Cassowary,Casuarius unappendiculatus,Northern Cassowary_sound
64,Okarito Kiwi,Apteryx rowi,Okarito Kiwi_sound
65,Orange-footed Scrubfowl,Megapodius reinwardt,Orange-footed Scrubfowl_sound
66,Ornate Tinamou,Nothoprocta ornata rostrata,Ornate Tinamou_sound
67,Pale-browed Tinamou,Crypturellus transfasciatus,Pale-browed Tinamou_sound
68,Patagonian Tinamou,Tinamotis ingoufi,Patagonian Tinamou_sound
69,Philippine Megapode,Megapodius cumingii,Philippine Megapode_sound
70,Plain Chachalaca,Ortalis vetula,Plain Chachalaca_sound
71,Puna Tinamou,Tinamotis pentlandii,Puna Tinamou_sound
72,Quebracho Crested Tinamou,Eudromia formosa,Quebracho Crested Tinamou_sound
73,Red-billed Brushturkey,Talegalla cuvieri,Red-billed Brushturkey_sound
74,Red-faced Guan,Penelope dabbenei,Red-faced Guan_sound
75,Red-legged Tinamou,Crypturellus erythropus spencei,Red-legged Tinamou_sound
76,Red-throated Piping Guan,Pipile cujubi nattereri,Red-throated Piping Guan_sound
77,Red-winged Tinamou,Rhynchotus rufescens,Red-winged Tinamou_sound
78,Rufous-bellied Chachalaca,Ortalis wagleri,Rufous-bellied Chachalaca_sound
79,Rufous-headed Chachalaca,Ortalis erythroptera,Rufous-headed Chachalaca_sound
80,Rufous-vented Chachalaca,Ortalis ruficauda,Rufous-vented Chachalaca_sound
81,Rusty Tinamou,Crypturellus brevirostris,Rusty Tinamou_sound
82,Rusty-margined Guan,Penelope superciliaris,Rusty-margined Guan_sound
83,Scaled Chachalaca,Ortalis squamata,Scaled Chachalaca_sound
84,Slaty-breasted Tinamou,Crypturellus boucardi boucardi,Slaty-breasted Tinamou_sound
85,Small-billed Tinamou,Crypturellus parvirostris,Small-billed Tinamou_sound
86,Solitary Tinamou,Tinamus solitarius,Solitary Tinamou_sound
87,Somali Ostrich,Struthio molybdophanes,Somali Ostrich_sound
88,Southern Brown Kiwi,Apteryx australis,Southern Brown Kiwi_sound
89,Southern Cassowary,Casuarius casuarius,Southern Cassowary_sound
90,Speckled Chachalaca,Ortalis guttata,Speckled Chachalaca_sound
91,Spixs Guan,,Spixs Guan_sound
92,Spotted Nothura,Nothura maculosa,Spotted Nothura_sound
93,Sula Megapode,Megapodius bernsteinii,Sula Megapode_sound
94,Taczanowskis Tinamou,,Taczanowskis Tinamou_sound
95,Tanimbar Megapode,Megapodius tenimberensis,Tanimbar Megapode_sound
96,Tataupa Tinamou,Crypturellus tataupa,Tataupa Tinamou_sound
97,Tawny-breasted Tinamou,Nothocercus julius,Tawny-breasted Tinamou_sound
98,Tepui Tinamou,Crypturellus ptaritepui,Tepui Tinamou_sound
99,Thicket Tinamou,Crypturellus cinnamomeus,Thicket Tinamou_sound
100,Tongan Megapode,Megapodius pritchardii,Tongan Megapode_sound
101,Trinidad Piping Guan,Pipile pipile,Trinidad Piping Guan_sound
102,Undulated Tinamou,Crypturellus undulatus,Undulated Tinamou_sound
103,Vanuatu Megapode,Megapodius layardi,Vanuatu Megapode_sound
104,Variegated Tinamou,Crypturellus variegatus,Variegated Tinamou_sound
105,Wattled Brushturkey,Aepypodius arfakianus arfakianus,Wattled Brushturkey_sound
106,West Mexican Chachalaca,Ortalis poliocephala,West Mexican Chachalaca_sound
107,White-bellied Chachalaca,Ortalis leucogastra,White-bellied Chachalaca_sound
108,White-bellied Nothura,Nothura boraquira,White-bellied Nothura_sound
109,White-browed Guan,Penelope jacucaca,White-browed Guan_sound
110,White-crested Guan,Penelope pileata,White-crested Guan_sound
111,White-throated Tinamou,Tinamus guttatus,White-throated Tinamou_sound
112,White-winged Guan,Penelope albipennis,White-winged Guan_sound
113,Yellow-legged Tinamou,Crypturellus noctivagus,Yellow-legged Tinamou_sound
